transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,,,d
1432,02-12-2022,06:24:00,67,Female,,Electronics,2,500,245,1000,,,
150,03-12-2022,08:25:00,89,Female,,Electronics,4,30,16.2,120,,,
845,04-12-2022,10:12:00,25,Male,,Clothing,1,500,145,500,,,
1150,05-12-2022,10:04:00,77,Female,,Electronics,4,30,10.2,120,,,
1845,06-12-2022,07:06:00,94,Male,,Clothing,1,500,185,500,,,
797,07-12-2022,06:38:00,116,Male,,Clothing,3,25,10.75,75,,,
921,08-12-2022,09:34:00,101,Male,,Electronics,3,25,8,75,,,
1797,09-12-2022,11:47:00,147,Male,40,Clothing,3,25,12.25,75,,,
1921,10-12-2022,07:01:00,77,Male,51,Electronics,3,25,7.5,75,,,
291,11-12-2022,08:29:00,15,Male,60,Clothing,2,300,126,600,,,
907,12-12-2022,06:16:00,145,Female,45,Electronics,1,25,8.5,25,,,
1291,13-12-2022,11:19:00,72,Male,60,Clothing,2,300,153,600,,,
1907,14-12-2022,11:21:00,115,Female,45,Electronics,1,25,9,25,,,
860,15-12-2022,08:58:00,85,Male,63,Clothing,4,50,16,200,,,
1860,16-12-2022,11:21:00,57,Male,63,Clothing,4,50,18,200,,,
184,17-12-2022,06:44:00,128,Male,31,Electronics,4,50,17,200,,,
734,18-12-2022,08:54:00,77,Female,27,Clothing,1,30,15.6,30,,,
1184,19-12-2022,08:28:00,23,Male,31,Electronics,4,50,27.5,200,,,
1734,20-12-2022,08:58:00,72,Female,27,Clothing,1,30,14.4,30,,,
225,21-12-2022,07:37:00,85,Female,57,Beauty,4,25,12.75,100,,,
679,22-12-2022,08:59:00,64,Female,18,Beauty,,,,,,,
746,23-12-2022,11:33:00,42,Female,33,Clothing,,,,,,,
1225,24-12-2022,09:51:00,137,Female,57,Beauty,,,,,,,
1679,25-12-2022,08:08:00,71,Female,18,Beauty,3,30,15.3,90,,,
1746,26-12-2022,07:59:00,88,Female,33,Clothing,3,30,10.8,90,,,
3,27-12-2022,07:08:00,114,Male,50,Electronics,1,30,8.1,30,,,
464,28-12-2022,11:13:00,24,Male,38,Electronics,2,300,75,600,,,
484,29-12-2022,07:52:00,135,Female,19,Clothing,4,300,75,1200,,,
591,30-12-2022,08:38:00,94,Male,53,Electronics,4,25,6.5,100,,,
1003,31-12-2022,07:59:00,80,Male,50,Electronics,1,30,15.9,30,,,
1464,01-01-2023,10:06:00,80,Male,38,Electronics,2,300,126,600,,,
1484,02-01-2023,09:29:00,22,Female,19,Clothing,4,300,147,1200,,,
1591,03-01-2023,11:00:00,62,Male,53,Electronics,4,25,7,100,,,
21,04-01-2023,07:33:00,59,Female,50,Beauty,1,500,275,500,,,
708,05-01-2023,08:38:00,62,Female,43,Beauty,3,300,87,900,,,
713,06-01-2023,11:43:00,39,Male,34,Beauty,3,25,11.25,75,,,
768,07-01-2023,06:50:00,58,Female,24,Beauty,3,25,10.5,75,,,
1021,08-01-2023,10:19:00,44,Female,50,Beauty,1,500,155,500,,,
1708,09-01-2023,07:47:00,41,Female,43,Beauty,3,300,162,900,,,
1713,10-01-2023,10:10:00,90,Male,34,Beauty,3,25,10.75,75,,,
1768,11-01-2023,09:52:00,85,Female,24,Beauty,3,25,8.75,75,,,
499,12-01-2023,10:52:00,15,Male,46,Beauty,2,30,16.5,60,,,
697,13-01-2023,07:52:00,152,Male,53,Clothing,1,500,200,500,,,
831,14-01-2023,11:49:00,149,Male,27,Electronics,4,25,13.75,100,,,
1499,15-01-2023,09:46:00,3,Male,46,Beauty,2,30,11.7,60,,,
1697,16-01-2023,08:22:00,54,Male,53,Clothing,1,500,265,500,,,
1831,17-01-2023,10:54:00,80,Male,27,Electronics,4,25,6.5,100,,,
15,18-01-2023,11:50:00,75,Female,42,Electronics,4,500,210,2000,,,
743,19-01-2023,07:54:00,55,Female,34,Beauty,4,500,260,2000,,,
1015,20-01-2023,11:53:00,94,Female,42,Electronics,4,500,200,2000,,,
1743,21-01-2023,09:37:00,47,Female,34,Beauty,4,500,250,2000,,,
14,22-01-2023,07:11:00,8,Male,64,Clothing,4,30,13.2,120,,,
103,23-01-2023,10:05:00,33,Female,59,Clothing,1,25,10.75,25,,,
238,24-01-2023,11:52:00,20,Female,39,Beauty,1,500,150,500,,,
986,25-01-2023,09:35:00,65,Female,49,Clothing,2,500,200,1000,,,
1014,26-01-2023,10:26:00,147,Male,64,Clothing,4,30,11.4,120,,,
1103,27-01-2023,07:11:00,61,Female,59,Clothing,1,25,6.75,25,,,
1238,28-01-2023,07:38:00,129,Female,39,Beauty,1,500,165,500,,,
1986,29-01-2023,08:28:00,29,Female,49,Clothing,2,500,145,1000,,,
438,30-01-2023,10:15:00,88,Female,42,Clothing,1,30,15.9,30,,,
1438,31-01-2023,10:00:00,72,Female,42,Clothing,1,30,13.8,30,,,
475,01-02-2023,10:39:00,78,Male,26,Clothing,3,25,9,75,,,
505,02-02-2023,07:25:00,86,Male,24,Beauty,1,50,19.5,50,,,
1475,03-02-2023,07:03:00,132,Male,26,Clothing,3,25,10.75,75,,,
1505,04-02-2023,08:00:00,98,Male,24,Beauty,1,50,14.5,50,,,
344,05-02-2023,09:47:00,69,Female,42,Beauty,1,30,7.5,30,,,
448,06-02-2023,09:36:00,86,Female,54,Beauty,2,30,16.2,60,,,
742,07-02-2023,06:08:00,37,Female,38,Electronics,4,500,195,2000,,,
1344,08-02-2023,06:12:00,144,Female,42,Beauty,1,30,11.1,30,,,
1448,09-02-2023,06:28:00,51,Female,54,Beauty,2,30,9.3,60,,,
1742,10-02-2023,08:25:00,18,Female,38,Electronics,4,500,220,2000,,,
445,11-02-2023,10:48:00,132,Female,53,Electronics,1,300,138,300,,,
787,12-02-2023,10:42:00,25,Male,41,Electronics,1,25,13.75,25,,,
1445,13-02-2023,06:16:00,31,Female,53,Electronics,1,300,129,300,,,
1787,14-02-2023,07:42:00,104,Male,41,Electronics,1,25,10,25,,,
49,15-02-2023,10:33:00,37,Female,54,Electronics,2,500,255,1000,,,
420,16-02-2023,10:53:00,28,Female,22,Clothing,4,500,200,2000,,,
519,17-02-2023,10:17:00,52,Female,36,Electronics,4,30,16.5,120,,,
1049,18-02-2023,06:36:00,143,Female,54,Electronics,2,500,125,1000,,,
1420,19-02-2023,07:01:00,138,Female,22,Clothing,4,500,205,2000,,,
1519,20-02-2023,07:35:00,139,Female,36,Electronics,4,30,9.3,120,,,
64,21-02-2023,06:34:00,7,Male,49,Clothing,4,25,8.5,100,,,
592,22-02-2023,09:15:00,77,Female,46,Beauty,4,500,275,2000,,,
912,23-02-2023,06:18:00,122,Male,51,Beauty,3,50,20.5,150,,,
1064,24-02-2023,10:38:00,49,Male,49,Clothing,4,25,13.75,100,,,
1592,25-02-2023,09:08:00,81,Female,46,Beauty,4,500,155,2000,,,
1912,26-02-2023,07:40:00,146,Male,51,Beauty,3,50,22,150,,,
134,27-02-2023,09:03:00,132,Male,49,Electronics,1,50,16,50,,,
1134,28-02-2023,09:04:00,106,Male,49,Electronics,1,50,24,50,,,
288,01-03-2023,09:59:00,27,Male,28,Clothing,4,30,12,120,,,
323,02-03-2023,08:22:00,97,Female,29,Beauty,3,300,150,900,,,
618,03-03-2023,10:22:00,5,Female,27,Beauty,1,50,26,50,,,
720,04-03-2023,08:50:00,116,Female,56,Beauty,3,500,235,1500,,,
1288,05-03-2023,11:56:00,26,Male,28,Clothing,4,30,9,120,,,
1323,06-03-2023,10:49:00,136,Female,29,Beauty,3,300,114,900,,,
1618,07-03-2023,06:27:00,118,Female,27,Beauty,1,50,13.5,50,,,
1720,08-03-2023,08:51:00,28,Female,56,Beauty,3,500,190,1500,,,
415,09-03-2023,09:59:00,85,Male,53,Clothing,2,30,8.1,60,,,
736,10-03-2023,08:30:00,97,Male,29,Clothing,4,25,9.75,100,,,
929,11-03-2023,10:18:00,40,Female,23,Beauty,3,25,10.5,75,,,
1415,12-03-2023,07:11:00,146,Male,53,Clothing,2,30,15.3,60,,,
1736,13-03-2023,08:57:00,87,Male,29,Clothing,4,25,10.25,100,,,
1929,14-03-2023,06:50:00,62,Female,23,Beauty,3,25,12.75,75,,,
264,15-03-2023,11:03:00,111,Male,47,Clothing,3,300,150,900,,,
913,16-03-2023,10:52:00,78,Male,29,Electronics,3,30,16.5,90,,,
940,17-03-2023,08:11:00,46,Female,20,Electronics,1,30,9.6,30,,,
1264,18-03-2023,09:23:00,82,Male,47,Clothing,3,300,123,900,,,
1913,19-03-2023,07:10:00,101,Male,29,Electronics,3,30,14.1,90,,,
1940,20-03-2023,09:47:00,56,Female,20,Electronics,1,30,11.1,30,,,
101,21-03-2023,08:46:00,24,Male,32,Clothing,2,300,135,600,,,
1101,22-03-2023,07:47:00,15,Male,32,Clothing,2,300,132,600,,,
189,23-03-2023,09:44:00,143,Male,63,Beauty,1,50,14.5,50,,,
317,24-03-2023,07:54:00,117,Male,22,Electronics,3,30,12,90,,,
322,25-03-2023,06:11:00,13,Male,51,Electronics,1,500,125,500,,,
329,26-03-2023,07:42:00,52,Female,46,Electronics,4,25,8,100,,,
1189,27-03-2023,06:08:00,104,Male,63,Beauty,1,50,20.5,50,,,
1317,28-03-2023,08:02:00,144,Male,22,Electronics,3,30,12,90,,,
1322,29-03-2023,09:56:00,10,Male,51,Electronics,1,500,250,500,,,
1329,30-03-2023,10:39:00,119,Female,46,Electronics,4,25,9.25,100,,,
235,31-03-2023,10:13:00,132,Female,23,Electronics,2,500,275,1000,,,
300,01-04-2023,09:41:00,138,Female,19,Electronics,4,50,26.5,200,,,
964,02-04-2023,08:18:00,15,Male,24,Clothing,3,300,156,900,,,
1235,03-04-2023,06:44:00,87,Female,23,Electronics,2,500,220,1000,,,
1300,04-04-2023,08:57:00,7,Female,19,Electronics,4,50,24,200,,,
1964,05-04-2023,08:27:00,115,Male,24,Clothing,3,300,111,900,,,
269,06-04-2023,11:31:00,87,Male,25,Clothing,4,500,250,2000,,,
320,07-04-2023,08:35:00,57,Female,28,Electronics,4,300,159,1200,,,
673,08-04-2023,10:14:00,18,Female,43,Clothing,3,500,270,1500,,,
1269,09-04-2023,08:09:00,71,Male,25,Clothing,4,500,145,2000,,,
1320,10-04-2023,11:55:00,102,Female,28,Electronics,4,300,84,1200,,,
1673,11-04-2023,07:36:00,42,Female,43,Clothing,3,500,185,1500,,,
142,12-04-2023,10:05:00,61,Male,35,Electronics,4,300,138,1200,,,
223,13-04-2023,11:18:00,61,Female,64,Clothing,1,25,12,25,,,
666,14-04-2023,10:59:00,49,Male,51,Electronics,3,50,16,150,,,
1142,15-04-2023,09:49:00,2,Male,35,Electronics,4,300,114,1200,,,
1223,16-04-2023,07:40:00,106,Female,64,Clothing,1,25,9.75,25,,,
1666,17-04-2023,10:10:00,125,Male,51,Electronics,3,50,21,150,,,
107,18-04-2023,09:18:00,75,Female,21,Clothing,4,300,78,1200,,,
933,19-04-2023,07:53:00,81,Male,22,Beauty,1,30,12.9,30,,,
1107,20-04-2023,11:14:00,62,Female,21,Clothing,4,300,102,1200,,,
1933,21-04-2023,11:04:00,121,Male,22,Beauty,1,30,14.4,30,,,
237,22-04-2023,08:54:00,105,Female,50,Beauty,2,500,165,1000,,,
335,23-04-2023,09:23:00,2,Female,47,Beauty,4,30,10.8,120,,,
1237,24-04-2023,09:20:00,48,Female,50,Beauty,2,500,215,1000,,,
1335,25-04-2023,08:45:00,117,Female,47,Beauty,4,30,8.7,120,,,
63,26-04-2023,11:49:00,127,Male,57,Electronics,2,25,6.25,50,,,
195,27-04-2023,11:51:00,10,Male,52,Clothing,1,30,9.3,30,,,
333,28-04-2023,08:15:00,21,Female,54,Electronics,4,300,99,1200,,,
379,29-04-2023,07:28:00,76,Female,47,Clothing,1,25,8.5,25,,,
490,30-04-2023,06:07:00,43,Male,34,Clothing,3,50,18.5,150,,,
530,01-05-2023,07:52:00,8,Female,18,Electronics,4,30,9,120,,,
740,02-05-2023,06:58:00,33,Female,25,Beauty,4,50,13,200,,,
793,03-05-2023,10:53:00,1,Male,54,Beauty,1,30,14.7,30,,,
1063,04-05-2023,10:26:00,56,Male,57,Electronics,2,25,11,50,,,
1195,05-05-2023,07:07:00,55,Male,52,Clothing,1,30,12,30,,,
1333,06-05-2023,11:38:00,151,Female,54,Electronics,4,300,165,1200,,,
1379,07-05-2023,06:23:00,69,Female,47,Clothing,1,25,7.25,25,,,
1490,08-05-2023,07:15:00,155,Male,34,Clothing,3,50,17,150,,,
1530,09-05-2023,08:17:00,93,Female,18,Electronics,4,30,12.3,120,,,
1740,10-05-2023,06:01:00,66,Female,25,Beauty,4,50,27,200,,,
1793,11-05-2023,06:05:00,88,Male,54,Beauty,1,30,10.8,30,,,
85,12-05-2023,08:05:00,68,Male,31,Clothing,3,50,19,150,,,
232,13-05-2023,07:14:00,150,Female,43,Beauty,1,25,12.75,25,,,
240,14-05-2023,11:49:00,95,Female,23,Beauty,1,300,123,300,,,
993,15-05-2023,09:21:00,134,Female,48,Electronics,3,50,17,150,,,
1085,16-05-2023,09:29:00,76,Male,31,Clothing,3,50,17,150,,,
1232,17-05-2023,08:05:00,146,Female,43,Beauty,1,25,6.25,25,,,
1240,18-05-2023,07:42:00,144,Female,23,Beauty,1,300,90,300,,,
1993,19-05-2023,11:53:00,123,Female,48,Electronics,3,50,26.5,150,,,
366,20-05-2023,09:32:00,116,Male,57,Clothing,2,50,17.5,100,,,
372,21-05-2023,11:45:00,27,Female,24,Beauty,3,500,140,1500,,,
596,22-05-2023,08:44:00,87,Female,64,Electronics,1,300,93,300,,,
936,23-05-2023,10:51:00,143,Male,57,Beauty,4,50,19.5,200,,,
1366,24-05-2023,11:34:00,25,Male,57,Clothing,2,50,23.5,100,,,
1372,25-05-2023,10:53:00,60,Female,24,Beauty,3,500,145,1500,,,
1596,26-05-2023,06:22:00,7,Female,64,Electronics,1,300,141,300,,,
1936,27-05-2023,11:32:00,60,Male,57,Beauty,4,50,12.5,200,,,
284,28-05-2023,09:17:00,129,Male,43,Clothing,4,50,20.5,200,,,
434,29-05-2023,06:09:00,50,Female,43,Electronics,2,25,8.25,50,,,
775,30-05-2023,11:07:00,98,Female,46,Electronics,4,25,9.5,100,,,
977,31-05-2023,08:35:00,46,Female,35,Electronics,3,25,13.75,75,,,
1284,01-06-2023,11:43:00,145,Male,43,Clothing,4,50,18,200,,,
1434,02-06-2023,10:02:00,147,Female,43,Electronics,2,25,7,50,,,
1775,03-06-2023,08:04:00,78,Female,46,Electronics,4,25,13.75,100,,,
1977,04-06-2023,10:46:00,63,Female,35,Electronics,3,25,12,75,,,
649,05-06-2023,08:17:00,44,Female,58,Clothing,2,300,135,600,,,
1649,06-06-2023,07:44:00,72,Female,58,Clothing,2,300,75,600,,,
54,07-06-2023,10:17:00,142,Female,38,Electronics,3,500,200,1500,,,
68,08-06-2023,09:06:00,146,Male,25,Electronics,1,300,84,300,,,
192,09-06-2023,08:05:00,134,Male,62,Beauty,2,50,13,100,,,
1054,10-06-2023,09:24:00,49,Female,38,Electronics,3,500,140,1500,,,
1068,11-06-2023,10:11:00,136,Male,25,Electronics,1,300,111,300,,,
1192,12-06-2023,08:41:00,37,Male,62,Beauty,2,50,20.5,100,,,
331,13-06-2023,08:33:00,28,Male,28,Electronics,3,30,10.2,90,,,
346,14-06-2023,06:54:00,38,Male,59,Clothing,2,500,215,1000,,,
657,15-06-2023,08:53:00,46,Male,40,Clothing,1,25,8,25,,,
732,16-06-2023,08:45:00,136,Male,61,Electronics,2,500,250,1000,,,
972,17-06-2023,11:42:00,139,Male,49,Beauty,4,25,6.75,100,,,
1331,18-06-2023,09:29:00,36,Male,28,Electronics,3,30,13.8,90,,,
1346,19-06-2023,10:01:00,112,Male,59,Clothing,2,500,130,1000,,,
1657,20-06-2023,10:05:00,61,Male,40,Clothing,1,25,8,25,,,
1732,21-06-2023,07:05:00,55,Male,61,Electronics,2,500,215,1000,,,
1972,22-06-2023,06:39:00,5,Male,49,Beauty,4,25,9.25,100,,,
714,23-06-2023,08:50:00,20,Female,18,Clothing,1,500,190,500,,,
1714,24-06-2023,06:07:00,111,Female,18,Clothing,1,500,245,500,,,
193,25-06-2023,10:40:00,55,Male,35,Beauty,3,500,180,1500,,,
577,26-06-2023,11:55:00,45,Male,21,Beauty,4,500,215,2000,,,
848,27-06-2023,10:46:00,15,Female,63,Clothing,3,25,9.75,75,,,
945,28-06-2023,10:01:00,120,Male,30,Beauty,1,25,13.25,25,,,
1193,29-06-2023,11:31:00,50,Male,35,Beauty,3,500,145,1500,,,
1577,30-06-2023,06:22:00,145,Male,21,Beauty,4,500,160,2000,,,
1848,01-07-2023,10:16:00,63,Female,63,Clothing,3,25,12.5,75,,,
1945,02-07-2023,09:55:00,33,Male,30,Beauty,1,25,10.75,25,,,
11,03-07-2023,10:30:00,151,Male,23,Clothing,2,50,23.5,100,,,
821,04-07-2023,11:27:00,40,Male,49,Electronics,1,300,129,300,,,
1011,05-07-2023,06:48:00,15,Male,23,Clothing,2,50,19,100,,,
1821,06-07-2023,07:17:00,42,Male,49,Electronics,1,300,108,300,,,
133,07-07-2023,09:01:00,70,Male,20,Electronics,3,300,87,900,,,
1133,08-07-2023,06:42:00,58,Male,20,Electronics,3,300,159,900,,,
16,09-07-2023,10:33:00,82,Male,19,Clothing,3,500,180,1500,,,
42,10-07-2023,08:29:00,63,Male,22,Clothing,3,300,147,900,,,
292,11-07-2023,06:33:00,111,Male,20,Beauty,4,300,141,1200,,,
416,12-07-2023,09:29:00,55,Male,53,Electronics,4,500,245,2000,,,
584,13-07-2023,10:21:00,106,Female,27,Beauty,4,50,16.5,200,,,
861,14-07-2023,08:57:00,22,Female,41,Clothing,3,30,9.6,90,,,
1016,15-07-2023,07:39:00,52,Male,19,Clothing,3,500,200,1500,,,
1042,16-07-2023,06:21:00,7,Male,22,Clothing,3,300,150,900,,,
1292,17-07-2023,08:20:00,88,Male,20,Beauty,4,300,90,1200,,,
1416,18-07-2023,10:47:00,111,Male,53,Electronics,4,500,125,2000,,,
1584,19-07-2023,11:07:00,62,Female,27,Beauty,4,50,16.5,200,,,
1861,20-07-2023,10:41:00,145,Female,41,Clothing,3,30,10.2,90,,,
256,21-07-2023,08:05:00,3,Male,23,Clothing,2,500,270,1000,,,
1256,22-07-2023,09:58:00,29,Male,23,Clothing,2,500,190,1000,,,
44,23-07-2023,11:07:00,93,Female,22,Clothing,1,25,11.75,25,,,
257,24-07-2023,08:49:00,130,Male,19,Beauty,4,500,165,2000,,,
1044,25-07-2023,09:08:00,70,Female,22,Clothing,1,25,7.5,25,,,
1257,26-07-2023,11:55:00,29,Male,19,Beauty,4,500,255,2000,,,
268,27-07-2023,08:26:00,93,Female,28,Electronics,1,30,8.7,30,,,
287,28-07-2023,11:07:00,88,Male,54,Clothing,4,25,10,100,,,
966,29-07-2023,07:22:00,119,Male,60,Electronics,2,500,190,1000,,,
1268,30-07-2023,09:33:00,15,Female,28,Electronics,1,30,14.1,30,,,
1287,31-07-2023,08:03:00,120,Male,54,Clothing,4,25,7,100,,,
1966,01-08-2023,09:52:00,74,Male,60,Electronics,2,500,200,1000,,,
70,02-08-2023,10:48:00,147,Female,43,Clothing,1,300,84,300,,,
371,03-08-2023,10:01:00,32,Female,20,Beauty,1,25,13,25,,,
900,04-08-2023,08:41:00,130,Male,21,Clothing,2,30,15.6,60,,,
1070,05-08-2023,11:12:00,102,Female,43,Clothing,1,300,120,300,,,
1371,06-08-2023,06:52:00,41,Female,20,Beauty,1,25,13.5,25,,,
1900,07-08-2023,06:43:00,65,Male,21,Clothing,2,30,10.8,60,,,
8,08-08-2023,11:19:00,148,Male,30,Electronics,4,25,11,100,,,
41,09-08-2023,10:36:00,88,Male,34,Clothing,2,25,13.25,50,,,
454,10-08-2023,07:20:00,13,Female,46,Beauty,1,25,13,25,,,
780,11-08-2023,11:30:00,107,Male,52,Electronics,2,25,13.25,50,,,
920,12-08-2023,10:25:00,99,Female,28,Beauty,3,25,6.75,75,,,
1008,13-08-2023,08:51:00,116,Male,30,Electronics,4,25,13,100,,,
1041,14-08-2023,07:27:00,74,Male,34,Clothing,2,25,11,50,,,
1454,15-08-2023,11:18:00,22,Female,46,Beauty,1,25,6.75,25,,,
1780,16-08-2023,10:00:00,32,Male,52,Electronics,2,25,10.5,50,,,
1920,17-08-2023,08:33:00,23,Female,28,Beauty,3,25,9.25,75,,,
396,18-08-2023,07:11:00,29,Female,55,Beauty,1,30,10.8,30,,,
1396,19-08-2023,06:23:00,9,Female,55,Beauty,1,30,8.4,30,,,
168,20-08-2023,09:20:00,138,Male,53,Clothing,1,300,102,300,,,
400,21-08-2023,09:52:00,2,Male,53,Clothing,4,50,24,200,,,
611,22-08-2023,08:13:00,11,Male,51,Beauty,3,500,180,1500,,,
800,23-08-2023,07:33:00,111,Male,32,Clothing,4,300,87,1200,,,
1168,24-08-2023,07:56:00,68,Male,53,Clothing,1,300,150,300,,,
1400,25-08-2023,11:54:00,115,Male,53,Clothing,4,50,20,200,,,
1611,26-08-2023,07:30:00,125,Male,51,Beauty,3,500,180,1500,,,
1800,27-08-2023,10:53:00,1,Male,32,Clothing,4,300,111,1200,,,
272,28-08-2023,11:57:00,112,Female,61,Electronics,2,50,27.5,100,,,
473,29-08-2023,10:09:00,1,Male,64,Beauty,1,50,14.5,50,,,
506,30-08-2023,07:13:00,9,Male,34,Beauty,3,500,200,1500,,,
766,31-08-2023,08:02:00,128,Male,38,Electronics,3,300,165,900,,,
1272,01-09-2023,11:59:00,66,Female,61,Electronics,2,50,17,100,,,
1473,02-09-2023,09:06:00,30,Male,64,Beauty,1,50,13,50,,,
1506,03-09-2023,07:31:00,52,Male,34,Beauty,3,500,245,1500,,,
1766,04-09-2023,06:08:00,6,Male,38,Electronics,3,300,129,900,,,
135,05-09-2023,07:22:00,104,Male,20,Clothing,2,25,13,50,,,
1135,06-09-2023,08:16:00,124,Male,20,Clothing,2,25,12.5,50,,,
2,07-09-2023,10:07:00,104,Female,26,Clothing,2,500,135,1000,,,
158,08-09-2023,11:38:00,141,Female,44,Electronics,2,300,132,600,,,
185,09-09-2023,09:48:00,57,Male,24,Clothing,1,25,7,25,,,
433,10-09-2023,08:48:00,144,Male,29,Beauty,4,50,20,200,,,
1002,11-09-2023,09:24:00,69,Female,26,Clothing,2,500,270,1000,,,
1158,12-09-2023,09:29:00,77,Female,44,Electronics,2,300,138,600,,,
1185,13-09-2023,10:28:00,153,Male,24,Clothing,1,25,10.25,25,,,
1433,14-09-2023,11:41:00,113,Male,29,Beauty,4,50,15.5,200,,,
152,15-09-2023,11:58:00,120,Male,43,Electronics,4,500,210,2000,,,
753,16-09-2023,10:07:00,70,Female,32,Clothing,1,30,15.9,30,,,
763,17-09-2023,09:43:00,58,Male,34,Clothing,2,25,11.5,50,,,
932,18-09-2023,08:33:00,120,Female,45,Beauty,4,25,7.75,100,,,
1152,19-09-2023,07:48:00,87,Male,43,Electronics,4,500,170,2000,,,
1753,20-09-2023,07:40:00,28,Female,32,Clothing,1,30,10.5,30,,,
1763,21-09-2023,11:37:00,93,Male,34,Clothing,2,25,13.5,50,,,
1932,22-09-2023,07:07:00,96,Female,45,Beauty,4,25,6.25,100,,,
399,23-09-2023,09:25:00,136,Female,64,Beauty,2,30,12.9,60,,,
500,24-09-2023,06:11:00,120,Female,60,Beauty,4,25,11.5,100,,,
514,25-09-2023,08:35:00,139,Female,18,Electronics,1,300,96,300,,,
1399,26-09-2023,09:32:00,15,Female,64,Beauty,2,30,16.2,60,,,
1500,27-09-2023,08:36:00,53,Female,60,Beauty,4,25,8.5,100,,,
1514,28-09-2023,10:55:00,59,Female,18,Electronics,1,300,75,300,,,
947,29-09-2023,07:09:00,4,Male,50,Beauty,1,300,129,300,,,
1947,30-09-2023,06:27:00,134,Male,50,Beauty,1,300,75,300,,,
220,01-10-2023,06:44:00,138,Male,64,Beauty,1,500,140,500,,,
339,02-10-2023,10:27:00,33,Female,22,Electronics,2,25,10.25,50,,,
785,03-10-2023,06:09:00,88,Female,31,Beauty,4,50,13,200,,,
885,04-10-2023,10:10:00,121,Female,52,Clothing,4,30,14.4,120,,,
888,05-10-2023,06:03:00,63,Female,52,Electronics,4,25,12.75,100,,,
1220,06-10-2023,11:16:00,47,Male,64,Beauty,1,500,240,500,,,
1339,07-10-2023,10:34:00,132,Female,22,Electronics,2,25,7.5,50,,,
1785,08-10-2023,11:17:00,144,Female,31,Beauty,4,50,17,200,,,
1885,09-10-2023,07:32:00,148,Female,52,Clothing,4,30,10.8,120,,,
1888,10-10-2023,08:10:00,49,Female,52,Electronics,4,25,12.5,100,,,
621,11-10-2023,09:55:00,138,Female,40,Beauty,2,500,275,1000,,,
1621,12-10-2023,10:49:00,2,Female,40,Beauty,2,500,160,1000,,,
52,13-10-2023,09:42:00,55,Female,36,Beauty,1,300,111,300,,,
536,14-10-2023,06:25:00,17,Female,55,Beauty,4,30,8.7,120,,,
1052,15-10-2023,06:12:00,94,Female,36,Beauty,1,300,120,300,,,
1536,16-10-2023,07:23:00,14,Female,55,Beauty,4,30,13.5,120,,,
197,17-10-2023,11:57:00,14,Female,42,Clothing,4,50,25.5,200,,,
750,18-10-2023,07:33:00,69,Female,35,Clothing,3,25,8.75,75,,,
910,19-10-2023,06:29:00,138,Female,20,Beauty,3,50,22.5,150,,,
917,20-10-2023,11:50:00,120,Female,57,Electronics,4,50,16.5,200,,,
1197,21-10-2023,10:07:00,77,Female,42,Clothing,4,50,19,200,,,
